academic_year,state_report,district_report,medium_slot,language_label,source_pdf,source_page
2005-06,ASSAM,TINSUKIA,4,Nepali,District report card 2005-06 vol-1.pdf,87
2005-06,ASSAM,TINSUKIA,5,English,District report card 2005-06 vol-1.pdf,87
2005-06,BIHAR,ARARIA,1,Hindi,District report card 2005-06 vol-1.pdf,88
2005-06,BIHAR,ARARIA,2,Urdu,District report card 2005-06 vol-1.pdf,88
2005-06,BIHAR,ARARIA,3,Sanskrit,District report card 2005-06 vol-1.pdf,88
2005-06,BIHAR,ARARIA,4,Others,District report card 2005-06 vol-1.pdf,88
2005-06,BIHAR,ARARIA,5,English,District report card 2005-06 vol-1.pdf,88
2005-06,BIHAR,AURANGABAD (BIHAR),1,Hindi,District report card 2005-06 vol-1.pdf,89
2005-06,BIHAR,AURANGABAD (BIHAR),2,Urdu,District report card 2005-06 vol-1.pdf,89
2005-06,BIHAR,AURANGABAD (BIHAR),3,Others,District report card 2005-06 vol-1.pdf,89
2005-06,BIHAR,AURANGABAD (BIHAR),4,Sanskrit,District report card 2005-06 vol-1.pdf,89
2005-06,BIHAR,AURANGABAD (BIHAR),5,Malayalam,District report card 2005-06 vol-1.pdf,89
2005-06,BIHAR,BANKA,1,Hindi,District report card 2005-06 vol-1.pdf,90
2005-06,BIHAR,BANKA,2,Urdu,District report card 2005-06 vol-1.pdf,90
2005-06,BIHAR,BANKA,3,Others,District report card 2005-06 vol-1.pdf,90
2005-06,BIHAR,BANKA,4,Gujarati,District report card 2005-06 vol-1.pdf,90
2005-06,BIHAR,BANKA,5,Sanskrit,District report card 2005-06 vol-1.pdf,90
2005-06,BIHAR,BEGUSARAI,1,Hindi,District report card 2005-06 vol-1.pdf,91
2005-06,BIHAR,BEGUSARAI,2,Urdu,District report card 2005-06 vol-1.pdf,91
2005-06,BIHAR,BEGUSARAI,3,Sanskrit,District report card 2005-06 vol-1.pdf,91
2005-06,BIHAR,BHAGALPUR,1,Hindi,District report card 2005-06 vol-1.pdf,92
2005-06,BIHAR,BHAGALPUR,2,Urdu,District report card 2005-06 vol-1.pdf,92
2005-06,BIHAR,BHAGALPUR,3,Others,District report card 2005-06 vol-1.pdf,92
2005-06,BIHAR,BHAGALPUR,4,Sanskrit,District report card 2005-06 vol-1.pdf,92
2005-06,BIHAR,BHOJPUR,1,Hindi,District report card 2005-06 vol-1.pdf,93
2005-06,BIHAR,BHOJPUR,2,Urdu,District report card 2005-06 vol-1.pdf,93
2005-06,BIHAR,BHOJPUR,3,Sanskrit,District report card 2005-06 vol-1.pdf,93
2005-06,BIHAR,BUXAR,1,Hindi,District report card 2005-06 vol-1.pdf,94
2005-06,BIHAR,BUXAR,2,Urdu,District report card 2005-06 vol-1.pdf,94
2005-06,BIHAR,BUXAR,3,Sanskrit,District report card 2005-06 vol-1.pdf,94
2005-06,BIHAR,DARBHANGA,1,Hindi,District report card 2005-06 vol-1.pdf,95
