"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","households_total","rooms_no_exclusive","rooms_one","rooms_two","overcrowding_gt2_ppr_lower_bound","water_tap","water_well","water_handpump_tubewell","water_surface","water_within_premises","water_away","bathroom_available","latrine_flush_or_water_closet","latrine_pit","drainage_closed","drainage_none","separate_kitchen_within_house","cooking_solid_fuel","cooking_clean_fuel","lighting_electricity","lighting_kerosene","lighting_solar","lighting_other_oil","lighting_other","lighting_none","latrine_available","banking","radio","television","telephone","bicycle","motorcycle","car","computer","computer_internet","households_owned","households_rented","structure_permanent","structure_semi_permanent","structure_temporary","structure_temporary_serviceable","structure_temporary_nonserviceable","structure_unclassifiable","census_year","no_exclusive_room_share_households","one_room_share_households","overcrowding_gt2_ppr_lower_bound_share_households","tap_water_share_households","well_water_share_households","handpump_tubewell_water_share_households","surface_water_share_households","water_within_premises_share_households","water_away_share_households","bathroom_share_households","flush_or_water_closet_latrine_share_households","pit_latrine_share_households","closed_drainage_share_households","no_drainage_share_households","separate_kitchen_within_house_share_households","solid_cooking_fuel_share_households","clean_cooking_fuel_share_households","electricity_share_households","kerosene_lighting_share_households","solar_lighting_share_households","no_lighting_share_households","latrine_share_households","banking_share_households","radio_share_households","television_share_households","telephone_share_households","bicycle_share_households","motorcycle_share_households","car_share_households","permanent_structure_share_households","semi_permanent_structure_share_households","temporary_structure_share_households","nonserviceable_temporary_structure_share_households","owned_share_households","rented_share_households","computer_share_households","internet_computer_share_households"
"pc2001__23__41",1,"Dindori",TRUE,168999,5353,83791,55123,86634,11475,55827,92203,4661,10050,87072,6386,8935,679,2591,152003,82170,163839,4691,62372,102671,3550,209,45,152,9945,116775,25563,13765,25956,26743,7979,1291,6447,554,162879,4301,29445,114765,24296,22140,2156,493,2011,0.0316747436375363,0.495807667500991,0.512630252250013,0.0678998100580477,0.330339232776525,0.545583109959231,0.0275800448523364,0.0594678075018195,0.515221983562033,0.0377872058414547,0.0528701353262445,0.00401777525310801,0.0153314516653945,0.899431357581998,0.486215894768608,0.96946727495429,0.0277575606956254,0.369067272587412,0.607524304877544,0.0210060414558666,0.000899413605997669,0.058846502050308,0.690980420002485,0.151261250066568,0.0814501860957757,0.153586707613655,0.158243539902603,0.0472132971201013,0.00763909845620388,0.174231800188167,0.679086858502121,0.143764164284996,0.0127574719377038,0.963786767969041,0.0254498547328682,0.038148154722809,0.00327812590607045
"pc2001__23__42",1,"Mandla",TRUE,249187,5481,91070,91418,108650,33609,81610,125323,6063,30628,118527,23330,28967,3836,4473,214657,167309,229042,18840,143803,103177,1489,389,153,176,33217,193207,30273,40591,51683,80798,19880,2246,9042,912,232935,8554,43061,175769,30011,27774,2237,346,2011,0.0219955294618098,0.365468503573621,0.436017930309366,0.134874612239001,0.327505046410928,0.502927520296003,0.0243311248179078,0.122911708877269,0.475654829505552,0.0936244667659228,0.116246032096377,0.0153940614879588,0.0179503746182586,0.86142936830573,0.671419456071143,0.919157098885576,0.0756058702901837,0.577088692427775,0.414054505251077,0.00597543210520613,0.000706296877445453,0.133301496466509,0.775349436367066,0.121487075971058,0.162893730411298,0.207406485892121,0.324246449453623,0.0797794427478159,0.00901331128830958,0.172805964998174,0.705369862793805,0.12043565675577,0.0089771938343493,0.934779904248616,0.034327633464025,0.0362860020787601,0.00365990200130825
"pc2001__23__44",1,"Seoni",TRUE,313274,7395,116764,98323,139277,65941,90924,153343,1613,61065,109496,44408,51792,16059,7816,257659,153531,280468,30826,228695,83165,238,668,118,390,68267,168044,28048,66919,84804,140883,37873,4048,10417,1182,284384,14621,70571,221832,20379,18251,2128,492,2011,0.0236055338138499,0.372721643034532,0.444585251249705,0.210489858717927,0.290237938673494,0.489485242950261,0.00514884733492087,0.19492520924175,0.349521505136079,0.141754502448336,0.165324923230144,0.0512618346878451,0.024949405312921,0.822471702088268,0.490085356588801,0.895280170074759,0.0983994841576384,0.730015896627234,0.265470482708428,0.000759718329641145,0.00124491659058843,0.21791466894795,0.536412214227801,0.0895318475200623,0.213611726475865,0.270702324482721,0.449711753927871,0.120894169321425,0.0129215957915435,0.225269253113888,0.708108556726699,0.0650516799989785,0.006792775653262,0.907780409481796,0.0466716037717781,0.0332520413439992,0.00377305489762955
"pc2001__23__45",1,"Balaghat",TRUE,394310,7484,152302,131872,184795,38273,136841,216480,1571,87044,119056,62442,60778,12359,9108,305819,194579,359724,32321,277927,114322,643,781,236,401,73522,151803,53640,82475,100910,252422,46168,4045,13306,1712,366925,16421,54454,312525,27001,24208,2793,330,2011,0.0189799903629124,0.386249397682027,0.468654104638482,0.0970632243666151,0.347039131647688,0.549009662448327,0.00398417488777865,0.220750171185108,0.301935025741168,0.1583576373919,0.154137607466207,0.0313433592858411,0.0230985772615455,0.775580127310999,0.493467069057341,0.912287286652634,0.0819685019400979,0.704843904542112,0.289929243488626,0.00163069665998833,0.00101696634627577,0.1864573558875,0.384983895919454,0.136035099287363,0.209162841419188,0.255915396515432,0.640161294413025,0.117085541832568,0.0102584261114352,0.138099464888032,0.792587050797596,0.0684765793411275,0.00708325936445944,0.930549567599097,0.0416448986837767,0.0337450229514849,0.0043417615581649
"pc2001__24__01",1,"Kachchh",TRUE,444761,9420,177137,168849,229025,367140,16970,25411,6039,313045,53492,285520,252002,27402,189826,239047,254041,248777,142291,403294,33451,387,1253,1575,4801,280257,254320,68552,250397,339331,83904,140540,28788,31961,9631,328271,83137,412914,16846,13441,6880,6561,1560,2011,0.021179914605822,0.398274578931156,0.51493948435227,0.825477053968311,0.0381553238705732,0.0571340562684228,0.0135780790132228,0.703849932885302,0.120271336740407,0.641962762022749,0.566600938481566,0.0616106178374453,0.426804508488829,0.537472934902116,0.571185423182338,0.559349853067153,0.31992688207824,0.906765656161399,0.0752111808364492,0.00087013024972963,0.0107945615735193,0.630129440306142,0.571812726385632,0.154132219326785,0.562992258763696,0.762951337909574,0.188649634297971,0.315989936167964,0.0647268982667095,0.928395250482844,0.0378765224468872,0.0302207252884133,0.0147517430709977,0.738084049635647,0.186925112588559,0.0718610669550613,0.0216543267058038
"pc2001__24__03",1,"Patan",TRUE,269174,11699,145838,75086,172962,233095,9092,21289,2730,182619,27510,129024,100901,22824,76804,174061,125843,190537,68291,223424,39171,328,1805,873,3573,123977,141153,22405,108006,176829,66270,41235,7802,12870,2231,245138,19197,203247,57960,7469,2784,4685,498,2011,0.0434625929696033,0.541798242029319,0.642565775297763,0.865964023271193,0.0337774079220133,0.0790901052850572,0.0101421385423555,0.678442197240447,0.102201549926813,0.479333070801786,0.374854183539272,0.0847927362969678,0.285332164324935,0.646648636198147,0.467515436111957,0.707858114082341,0.253705781390476,0.830035590361625,0.145522970272017,0.00121854265270791,0.0132739417625774,0.46058311724015,0.524393143468537,0.0832361223595147,0.401249749232838,0.656931947364901,0.246197626813882,0.153190872818326,0.0289849688305706,0.755076641874772,0.21532540289924,0.027747850832547,0.0174050985607822,0.910704599998514,0.0713181808049812,0.0478129388425331,0.0082883190798517
"pc2001__24__04",1,"Mahesana",TRUE,425907,6169,114835,172049,195343,375792,6687,37879,1318,328355,23529,258753,217190,15009,169532,240556,237875,216236,185142,385609,33247,255,1150,486,5160,232825,271470,44999,245131,301436,143818,119579,25163,33731,7759,371860,43193,344119,70718,10616,5173,5443,454,2011,0.0144843827408331,0.269624589405668,0.458651771396103,0.882333467165367,0.0157006106967014,0.0889372562554736,0.00309457228925564,0.770954691986748,0.0552444547753383,0.607534039121217,0.509947007210494,0.0352400876247632,0.398049339409777,0.564808749327905,0.558513947880641,0.50770708159293,0.434700533214998,0.905383100066446,0.0780616425651609,0.000598722256267213,0.0121153209503483,0.546656899276133,0.637392670230825,0.105654520822621,0.575550530984464,0.707750753098681,0.337674656673875,0.280763171302655,0.0590809730762819,0.807967467076146,0.166040943210607,0.0249256293040499,0.0127797852582841,0.873101404766768,0.101414158489999,0.0791980408868603,0.0182175921034404
"pc2001__24__07",1,"Ahmadabad",TRUE,1494656,44862,584386,460777,755041,1265476,28865,180755,5854,1286525,62436,1224159,1215904,22004,1145315,303986,1134939,328425,979443,1456046,28771,624,1232,1472,6511,1241055,1006391,501082,1159650,1196482,680535,692591,174812,273651,126341,1193694,269205,1328670,150477,13116,5885,7231,2393,2011,0.0300149332020211,0.390983610944592,0.505160384730667,0.846667059176158,0.0193121360366533,0.120934181510662,0.0039166202791813,0.860749898304359,0.0417728226428021,0.81902390918044,0.813500899203563,0.0147217821358226,0.766273309711399,0.203381915303588,0.759331244112358,0.219732834846279,0.65529660336559,0.974167969084525,0.0192492453112957,0.000417487368330907,0.00435618630641432,0.830328182538323,0.673326170035112,0.335249047272416,0.775864145328423,0.800506604864263,0.455312125331849,0.463378195384088,0.116958015757472,0.888947021923439,0.100676677442836,0.00877526333818618,0.00483790250064229,0.798641292712169,0.180111677871029,0.183086275370386,0.0845284801318832
"pc2001__24__08",1,"Surendranagar",TRUE,342337,8003,174342,121787,227502,238259,51811,32482,6244,198405,68545,155861,109184,11078,14826,260512,181666,242163,79320,302068,32781,389,547,2001,4551,120741,178636,43874,177591,246026,135074,99436,10088,15309,2975,306924,26468,271683,65455,4559,1548,3011,640,2011,0.0233775490233308,0.509270105188747,0.664555686355842,0.695977939866272,0.151345019673596,0.0948831122548833,0.0182393372612367,0.579560491562408,0.200226677221568,0.455285289057274,0.31893718762506,0.0323599260377932,0.0433082021516809,0.760981138468819,0.530664228523356,0.707381907301869,0.231701510499888,0.88237029593646,0.0957565206214929,0.00113630720605719,0.0132939179814043,0.352696319708358,0.521813300928617,0.128160263132527,0.518760753292808,0.718666109710607,0.394564420439508,0.29046232221466,0.0294680388038687,0.793612726640708,0.191200483733865,0.013317286767133,0.0087954267286329,0.896555148873771,0.0773156275833462,0.0447190925900502,0.00869026719285382
"pc2001__24__09",1,"Rajkot",TRUE,782631,12073,252913,318441,391449,651594,22261,79342,3657,605196,62687,560284,495764,42820,309951,256712,585948,320475,370570,747352,28835,404,597,1463,3980,543342,510873,211531,571843,651936,355586,428744,55289,67370,21785,644828,111779,717415,58227,5052,1748,3304,1937,2011,0.0154261714652244,0.323157401125179,0.500170578471847,0.832568605128087,0.0284438004627979,0.101378555155623,0.00467270016137873,0.7732839614071,0.0800977727690316,0.715898041350266,0.633458168664415,0.0547128851272183,0.396037212939431,0.328011540559983,0.748689995668457,0.409484163034687,0.473492616571539,0.954922562484747,0.0368436721775652,0.000516207510308178,0.00508541062135285,0.694250547192738,0.652763562905124,0.270281908076731,0.730667453755346,0.833005592673942,0.454346940001099,0.547823942573192,0.0706450421718537,0.916670819326094,0.0743990462938473,0.00645514936157653,0.00422165746054015,0.823923407071787,0.142824651719648,0.0860814355679752,0.027835595574415
"pc2001__24__11",1,"Porbandar",TRUE,124769,2118,49847,49697,68654,77490,23282,16239,2491,72890,21248,71515,53770,18098,10474,78519,81655,73720,43249,117040,6458,423,157,216,475,72287,85992,17522,80820,92715,40784,45156,4395,5639,1653,103353,16208,120062,3425,1088,230,858,194,2011,0.0169753704846556,0.399514302430892,0.550248859893082,0.6210677331709,0.186600838349269,0.130152521860398,0.0199648951261932,0.584199600862394,0.170298712019813,0.573179235226699,0.430956407440951,0.145052056199857,0.0839471343041941,0.629314974072085,0.654449422532841,0.590851894300668,0.3466325770023,0.938053522910338,0.051759651836594,0.00339026521010828,0.00380703540142183,0.579366669605431,0.689209659450665,0.140435524849923,0.64775705503771,0.743093236300684,0.326876066971764,0.361916822287587,0.0352250959773662,0.962274282874753,0.0274507289470942,0.00872011477209884,0.00687670815667353,0.82835479966979,0.129904062707884,0.0451955213234057,0.013248483196948
"pc2001__24__13",1,"Amreli",TRUE,294071,5344,108810,114085,167991,200362,16182,63392,1632,191055,46800,177329,137263,35080,41837,189740,188961,195247,86699,273331,15710,348,305,1063,3314,173045,185870,31204,164282,222389,96477,113906,10236,12765,2538,265928,21529,227218,64134,2047,985,1062,672,2011,0.0181724821556699,0.370012684011684,0.571260001836291,0.68133886034325,0.0550275273658402,0.215566988924443,0.00554968017927643,0.649690040840477,0.159145240435133,0.603014238058156,0.466768229441189,0.119290919539839,0.142268363762493,0.645218331627396,0.642569311492803,0.663945101693128,0.294823358984735,0.929472814388362,0.0534224728041867,0.00118338768528689,0.0112693873248297,0.588446327587555,0.632058244437568,0.106110429114057,0.558647401477874,0.756242540066855,0.328073832509836,0.387341832414621,0.034807920536197,0.772663744469873,0.218090189103992,0.0069609039993743,0.00361137276372033,0.904298621761411,0.0732102111394867,0.0434078844904802,0.00863056880821298
"pc2001__24__14",1,"Bhavnagar",TRUE,542464,12354,241647,201640,352580,390572,45845,78614,2668,361542,81285,307085,276021,14581,216940,276478,320165,327431,174844,500757,33370,418,1215,1689,5015,292210,275075,74663,293361,400446,238912,200864,17517,28925,7297,467094,61608,408777,126025,6426,3675,2751,1236,2011,0.0227738614912695,0.445461818664464,0.649960181689476,0.719996165644172,0.0845125206465314,0.144920215903728,0.00491829872581406,0.666481093676262,0.149844044950448,0.566092865148655,0.508828235606418,0.0268792030438886,0.399915939122227,0.509670687824445,0.590205064299198,0.603599501533742,0.322314476168004,0.923115635323266,0.0615156028787164,0.00077055804624823,0.00924485311467673,0.53867169065597,0.507084341080698,0.137636783270411,0.540793490443605,0.738198295186409,0.440420009438414,0.370280792826805,0.0322915437706465,0.753555996342614,0.232319564063237,0.01184594738084,0.00507130427088249,0.861059904436055,0.113570670127419,0.0533215107361963,0.0134515838839075
"pc2001__24__15",1,"Anand",TRUE,427164,11541,149453,163846,223056,323542,20492,78937,259,283725,44677,212363,204512,25352,126921,283559,234599,261533,149880,378310,40987,290,798,516,6263,230571,239894,64013,203467,244185,172466,104613,19352,32523,9902,379759,31488,263437,152675,10225,5028,5197,827,2011,0.0270177262128831,0.349872648444157,0.522178835295109,0.757418696332088,0.0479722073957543,0.18479319418303,0.000606324503001189,0.664206253335955,0.104589806257082,0.497146295099774,0.478766937288723,0.0593495706567033,0.297124757704301,0.663817643808935,0.549201243550486,0.612254309820116,0.350872264516673,0.885631747993745,0.09595143785525,0.000678896161661563,0.0146618160706427,0.539771609967132,0.561596951053928,0.149855793091178,0.476320570085494,0.571642273225272,0.403746570403873,0.244901255723797,0.0453034431740502,0.616711614274611,0.357415418902342,0.0239369422516879,0.0121662874212246,0.889023887780806,0.0737140770289631,0.0761370340197208,0.0231807923888717
"pc2001__24__17",1,"Panch Mahals",TRUE,446746,14216,193153,168390,280304,121463,115745,202611,4443,129165,113188,109522,101242,19593,17309,391588,265211,371781,64265,398937,42327,608,378,516,3980,121676,200668,51901,90896,214889,120545,72703,9656,19753,3456,425072,15044,194377,241106,10584,4394,6190,679,2011,0.0318212138441083,0.432355298088847,0.627434828739373,0.271883799743031,0.259084580499881,0.453526164755812,0.00994524853048488,0.289124021255926,0.253360970215738,0.245154965013677,0.226620943444373,0.043857135822145,0.038744611031772,0.876533869357532,0.593650530726632,0.83219771413734,0.1438513159603,0.89298393270449,0.094745112435254,0.00136095230847059,0.00890886544031732,0.272360580732676,0.449176937230552,0.116175634476862,0.203462370116352,0.48100934311667,0.269828940829912,0.162739006057133,0.0216140715305789,0.435095109973005,0.539693696194258,0.0236913145277182,0.0138557480089357,0.951484736293106,0.0336746160010386,0.0442152811664794,0.00773593943762227
"pc2001__24__18",1,"Dohad",TRUE,329872,21258,159194,112797,243323,32287,131391,155465,7328,54413,136678,40404,37430,5258,8542,296817,137840,296676,29162,241117,81456,577,918,451,5353,43164,124352,18723,41178,152144,61360,40551,5222,13497,1733,319284,8697,114787,210858,3919,2099,1820,308,2011,0.064443177959936,0.482593248290246,0.73762853470437,0.097877358490566,0.398309041082602,0.471288863559199,0.0222146772081292,0.164951860115439,0.414336469903478,0.122483872532376,0.113468254353204,0.015939515933453,0.0258948925643886,0.899794465732163,0.417859048358151,0.899367027210554,0.0884039870010186,0.730941092302469,0.246932143376825,0.00174916331183004,0.0162275064267352,0.130850754231945,0.376970461269826,0.0567583790076151,0.124830237182907,0.461221322209827,0.186011543871562,0.122929499927245,0.0158303826938934,0.347974365814619,0.63921157297376,0.0118803657176117,0.00551729155551244,0.967902701653975,0.0263647717902702,0.0409158703982151,0.00525355289324344
"pc2001__24__20",1,"Narmada",TRUE,122039,2675,57058,49027,75902,41369,3098,74178,2247,40740,20016,21013,20712,6137,6389,104796,94589,106739,13852,101940,14610,3915,141,349,1084,27223,54310,12913,31194,43827,29316,18771,2442,4081,576,115602,4801,36946,82622,2251,304,1947,220,2011,0.0219192225436131,0.467539065380739,0.621948721310401,0.338981800899712,0.0253853276411639,0.607822089659863,0.018412146936635,0.333827710813756,0.164013143339424,0.172182662919231,0.169716238251706,0.0502872032710855,0.0523521169462221,0.858709101188964,0.775071903244045,0.874630241152418,0.113504699317431,0.835306746204082,0.119715828546612,0.032079908881587,0.00888240644384172,0.223068035627955,0.445021673399487,0.105810437646982,0.255606814215128,0.35912290333418,0.240218290874229,0.153811486492023,0.0200099968043003,0.30273928826031,0.677013085980711,0.0184449233441769,0.0159539163709962,0.947254566163276,0.0393398831521071,0.0334401297945739,0.0047198026860266
"pc2001__24__21",1,"Bharuch",TRUE,335098,6722,122866,126079,167840,253257,12894,58860,2329,204663,34474,192349,186099,17549,109824,186172,249349,187708,125034,309091,22294,227,576,1133,1777,204943,183082,50018,178535,215142,96508,104126,21579,29531,10257,279792,44555,214538,115096,4846,1620,3226,618,2011,0.0200598034007962,0.366656918274654,0.500868402676232,0.755769953864243,0.0384782959014975,0.175650108326519,0.00695020561149276,0.610755659538404,0.102877367217948,0.574008200586097,0.555356940357746,0.0523697545195734,0.327736960530949,0.555574787077213,0.744107693868659,0.560158520790933,0.373126667422664,0.922389868038604,0.0665297912849375,0.000677413771493712,0.00530292630812479,0.611591235996634,0.546353604020316,0.149263797456267,0.532784439178986,0.642027108487666,0.287999331538833,0.310732979605966,0.0643960871148142,0.640224650699198,0.343469671558768,0.0144614411306543,0.00962703447946571,0.83495574428973,0.132961103915869,0.0881264585285499,0.0306089561859516
"pc2001__24__23",1,"The Dangs",TRUE,48448,1114,22070,18066,32518,8485,14327,23736,923,5457,19727,6653,8975,4610,658,46357,38058,46046,2183,29794,17904,86,97,38,529,13736,22323,8955,9262,11148,6914,5662,991,1393,137,46314,1291,7543,40177,704,136,568,24,2011,0.0229937252311757,0.455539960369881,0.671193857331572,0.175136228533686,0.295719121532365,0.489927344782034,0.0190513540290621,0.112636228533686,0.407178830911493,0.13732249009247,0.185250165125495,0.0951535667107001,0.013581571994716,0.956840323645971,0.785543262879789,0.95042107001321,0.0450586195508587,0.614968626155878,0.369550858652576,0.00177509907529723,0.0109189233817701,0.283520475561427,0.460762054161163,0.184837351387054,0.191174042272127,0.230102377807133,0.142709709379128,0.116867569352708,0.0204549207397622,0.155692701453104,0.829280878467635,0.0145310435931308,0.0117239101717305,0.955952774108322,0.0266471268163804,0.0287524768824306,0.00282777410832232
