"panel_unit_id","dist91_state_id","dist91_district_id","state_code_2001","district_code_2001","preferred_vanneman_pretrend_eligible","pretrend_geography_status","period_id","start_year","end_year","measure_id","domain","label","contains_estimated_source","start_value","end_value","change","population_1961"
"1407","12","08","32","08",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.3431065693721,14.5873242689308,0.2442176995587,1694853
"1408","12","09",NA,NA,FALSE,"splits_across_2001_districts","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.3432323438105,13.5483994450169,0.205167101206399,623580
"1409","12","10","32","10",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.0579546497659,14.2466674541175,0.188712804351599,1274360
"1410","12",NA,NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.4063237494221,14.5696220673396,0.1632983179175,1805456
"1411","12",NA,NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.4818126109348,14.6963071603388,0.214494549404,1947024
"1412","12",NA,NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.3719963095858,14.6033340811325,0.2313377715467,1744531
"1500","32",NA,NA,NA,FALSE,"panel_to_1991_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,10.0902990146029,10.3675359847432,0.277236970140299,24108
"1601","13","01",NA,NA,FALSE,"splits_across_2001_districts","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.5713323206812,13.8007400085008,0.229407687819599,783348
"1602","13","02","23","03",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.3710483516991,13.5847820635602,0.213733711861099,641169
"1603","13","03",NA,NA,FALSE,"splits_across_2001_districts","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.3967717427005,13.6623652059589,0.2655934632584,657876
"1604","13","04","23","05",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,12.2084049236539,12.4500653351803,0.2416604115264,200467
"1605","13","05","23","06",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.2320318006893,13.4247867608611,0.192754960171799,557954
"1606","13","06","23","07",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.2977022787704,13.5718428190919,0.2741405403215,595825
"1607","13","07","23","08",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.029506585581,13.2514335837186,0.221926998137599,455662
"1608","13","08","23","09",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.2834153314195,13.4763737745892,0.192958443169701,587373
"1609","13","09","23","10",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,12.7106497881348,12.9693916689837,0.2587418808489,331257
"1610","13","10","23","11",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.588041414752,13.8759384545492,0.287897039797199,796547
"1611","13","11",NA,NA,FALSE,"splits_across_2001_districts","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,12.9907569879147,13.2590998781778,0.268342890263099,438343
"1612","13","12",NA,NA,FALSE,"project_1991_geography_not_preferred","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.45076023863,13.7250725896377,0.274312351007699,694370
"1613","13","13","23","14",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.5575193178726,13.7931565586849,0.2356372408123,772602
"1614","13","14",NA,NA,FALSE,"splits_across_2001_districts","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.6287579987627,13.8449130373084,0.2161550385457,829649
"1615","13","15","23","17",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.2710057715854,13.5629201731398,0.291914401554399,580129
"1616","13","16",NA,NA,FALSE,"splits_across_2001_districts","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.5306046284592,13.7762727246644,0.2456680962052,752085
"1617","13","17","23","20",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.0888500262311,13.3479583215983,0.2591082953672,483521
"1618","13","18","23","21",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.402597784721,13.6676089784402,0.2650111937192,661720
"1619","13","19","23","22",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.1733131127822,13.4274319253127,0.2541188125305,526135
"1620","13","20","23","23",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.0100923725561,13.2952000949871,0.285107722431,446901
"1621","13","21","23","24",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.1507253472227,13.4117604783536,0.2610351311309,514384
"1622","13","22","23","25",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.3751030118185,13.6440102398019,0.268907227983401,643774
"1623","13","23","23","26",TRUE,"preferred_single_target","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.5326090404292,13.8403495013112,0.307740460882,753594
