"harmonized_component_id","vintage","state_code","district_code","unit_id","side"
"geo_component_0106",1991,"08","03","census1991__08__03","source"
"geo_component_0106",1991,"08","04","census1991__08__04","source"
"geo_component_0106",1991,"08","05","census1991__08__05","source"
"geo_component_0106",1991,"08","06","census1991__08__06","source"
"geo_component_0106",1991,"08","07","census1991__08__07","source"
"geo_component_0106",1991,"08","08","census1991__08__08","source"
"geo_component_0106",1991,"08","11","census1991__08__11","source"
"geo_component_0106",1991,"08","13","census1991__08__13","source"
"geo_component_0106",1991,"08","14","census1991__08__14","source"
"geo_component_0106",1991,"08","15","census1991__08__15","source"
"geo_component_0106",2001,"06","03","census2001__06__03","target"
"geo_component_0106",2001,"06","04","census2001__06__04","target"
"geo_component_0106",2001,"06","05","census2001__06__05","target"
"geo_component_0106",2001,"06","06","census2001__06__06","target"
"geo_component_0106",2001,"06","07","census2001__06__07","target"
"geo_component_0106",2001,"06","08","census2001__06__08","target"
"geo_component_0106",2001,"06","09","census2001__06__09","target"
"geo_component_0106",2001,"06","10","census2001__06__10","target"
"geo_component_0106",2001,"06","12","census2001__06__12","target"
"geo_component_0106",2001,"06","13","census2001__06__13","target"
"geo_component_0106",2001,"06","14","census2001__06__14","target"
"geo_component_0106",2001,"06","15","census2001__06__15","target"
"geo_component_0106",2001,"06","17","census2001__06__17","target"
"geo_component_0107",1991,"08","09","census1991__08__09","source"
"geo_component_0107",2001,"06","19","census2001__06__19","target"
"geo_component_0108",1991,"08","10","census1991__08__10","source"
"geo_component_0108",2001,"06","18","census2001__06__18","target"
"geo_component_0109",1991,"08","12","census1991__08__12","source"
"geo_component_0109",2001,"06","16","census2001__06__16","target"
"geo_component_0110",1991,"08","16","census1991__08__16","source"
"geo_component_0110",2001,"06","11","census2001__06__11","target"
"geo_component_0111",1991,"09","01","census1991__09__01","source"
"geo_component_0111",2001,"02","01","census2001__02__01","target"
"geo_component_0112",1991,"09","02","census1991__09__02","source"
"geo_component_0112",2001,"02","02","census2001__02__02","target"
"geo_component_0113",1991,"09","03","census1991__09__03","source"
"geo_component_0113",2001,"02","06","census2001__02__06","target"
"geo_component_0114",1991,"09","04","census1991__09__04","source"
"geo_component_0114",2001,"02","07","census2001__02__07","target"
"geo_component_0115",1991,"09","05","census1991__09__05","source"
"geo_component_0115",2001,"02","08","census2001__02__08","target"
"geo_component_0116",1991,"09","06","census1991__09__06","source"
"geo_component_0116",2001,"02","05","census2001__02__05","target"
"geo_component_0117",1991,"09","07","census1991__09__07","source"
"geo_component_0117",2001,"02","04","census2001__02__04","target"
"geo_component_0118",1991,"09","08","census1991__09__08","source"
"geo_component_0118",2001,"02","03","census2001__02__03","target"
"geo_component_0119",1991,"09","09","census1991__09__09","source"
"geo_component_0119",2001,"02","11","census2001__02__11","target"
"geo_component_0120",1991,"09","10","census1991__09__10","source"
"geo_component_0120",2001,"02","09","census2001__02__09","target"
"geo_component_0121",1991,"09","11","census1991__09__11","source"
"geo_component_0121",2001,"02","10","census2001__02__10","target"
"geo_component_0122",1991,"09","12","census1991__09__12","source"
"geo_component_0122",2001,"02","12","census2001__02__12","target"
"geo_component_0123",1991,"11","01","census1991__11__01","source"
"geo_component_0123",2001,"29","20","census2001__29__20","target"
"geo_component_0124",1991,"11","02","census1991__11__02","source"
"geo_component_0124",2001,"29","21","census2001__29__21","target"
"geo_component_0125",1991,"11","03","census1991__11__03","source"
"geo_component_0125",2001,"29","01","census2001__29__01","target"
"geo_component_0126",1991,"11","04","census1991__11__04","source"
"geo_component_0126",1991,"11","08","census1991__11__08","source"
"geo_component_0126",1991,"11","18","census1991__11__18","source"
"geo_component_0126",2001,"29","12","census2001__29__12","target"
"geo_component_0126",2001,"29","13","census2001__29__13","target"
"geo_component_0126",2001,"29","14","census2001__29__14","target"
"geo_component_0126",2001,"29","15","census2001__29__15","target"
"geo_component_0127",1991,"11","05","census1991__11__05","source"
"geo_component_0127",2001,"29","05","census2001__29__05","target"
"geo_component_0128",1991,"11","06","census1991__11__06","source"
"geo_component_0128",2001,"29","02","census2001__29__02","target"
"geo_component_0128",2001,"29","03","census2001__29__03","target"
"geo_component_0129",1991,"11","07","census1991__11__07","source"
"geo_component_0129",2001,"29","17","census2001__29__17","target"
"geo_component_0130",1991,"11","09","census1991__11__09","source"
"geo_component_0130",2001,"29","16","census2001__29__16","target"
"geo_component_0130",2001,"29","24","census2001__29__24","target"
"geo_component_0131",1991,"11","10","census1991__11__10","source"
"geo_component_0131",2001,"29","08","census2001__29__08","target"
"geo_component_0131",2001,"29","09","census2001__29__09","target"
"geo_component_0131",2001,"29","11","census2001__29__11","target"
"geo_component_0132",1991,"11","11","census1991__11__11","source"
"geo_component_0132",2001,"29","04","census2001__29__04","target"
"geo_component_0133",1991,"11","12","census1991__11__12","source"
"geo_component_0133",2001,"29","23","census2001__29__23","target"
"geo_component_0134",1991,"11","13","census1991__11__13","source"
"geo_component_0134",2001,"29","25","census2001__29__25","target"
"geo_component_0135",1991,"11","14","census1991__11__14","source"
"geo_component_0135",2001,"29","19","census2001__29__19","target"
"geo_component_0136",1991,"11","15","census1991__11__15","source"
"geo_component_0136",2001,"29","22","census2001__29__22","target"
"geo_component_0137",1991,"11","16","census1991__11__16","source"
"geo_component_0137",2001,"29","26","census2001__29__26","target"
"geo_component_0137",2001,"29","27","census2001__29__27","target"
"geo_component_0138",1991,"11","17","census1991__11__17","source"
"geo_component_0138",2001,"29","06","census2001__29__06","target"
"geo_component_0138",2001,"29","07","census2001__29__07","target"
"geo_component_0139",1991,"11","19","census1991__11__19","source"
"geo_component_0139",2001,"29","18","census2001__29__18","target"
"geo_component_0140",1991,"11","20","census1991__11__20","source"
"geo_component_0140",2001,"29","10","census2001__29__10","target"
"geo_component_0141",1991,"12","01","census1991__12__01","source"
"geo_component_0141",2001,"32","01","census2001__32__01","target"
"geo_component_0142",1991,"12","02","census1991__12__02","source"
"geo_component_0142",2001,"32","02","census2001__32__02","target"
"geo_component_0143",1991,"12","03","census1991__12__03","source"
"geo_component_0143",2001,"32","03","census2001__32__03","target"
"geo_component_0144",1991,"12","04","census1991__12__04","source"
"geo_component_0144",2001,"32","04","census2001__32__04","target"
