"target_unit_2001","dise_source_district_count_0708","dise_emi_enrollment_share_total_0708","dise_hindi_enrollment_share_total_0708","dise_english_share_english_hindi_0708","dise_private_enrollment_share_0708","dise_private_school_share_0708","dise_emi_gross_enrollment_ratio_age_6_13_0708","dise_elementary_gross_enrollment_ratio_age_6_13_0708","dise_english_identity_resolved_0708","dise_hindi_identity_resolved_0708","dise_baseline_years_observed","dise_emi_enrollment_share_total_0508_pooled","dise_age_6_13_baseline_years_observed","dise_emi_gross_enrollment_ratio_age_6_13_0508_pooled"
"pc2001__32__08",1,35.9494115580537,0,100,74.8982961531706,60.0198412698413,26.9757868252792,75.0381874310147,TRUE,TRUE,3,31.1004512180097,3,23.596323170543
"pc2001__32__09",1,23.4587635546723,0,100,65.0200889964142,57.0247933884297,19.2477925557595,82.0494759278389,TRUE,TRUE,3,17.4408254037269,3,13.9928239904378
"pc2001__32__10",1,25.865658501217,0,100,78.6503702936455,63.8185654008439,21.2129376744422,82.0119761244202,TRUE,TRUE,3,20.2329134774112,3,15.8577536981528
"pc2001__32__11",1,19.0733875361916,0,100,65.0402247887264,53.1208499335989,14.2175442087214,74.5412642706687,TRUE,TRUE,3,14.7206105213384,3,10.0741731631417
"pc2001__32__12",1,16.2763478501431,NA,NA,65.2458423331879,56.9405099150142,10.9851818450722,67.4916876083818,TRUE,FALSE,3,13.1933363119934,3,8.7803351377686
"pc2001__32__13",1,17.9578663859823,0,100,59.6317565475822,51.2061403508772,14.2726572455653,79.4785802432877,TRUE,TRUE,3,13.035894839961,3,10.1916555765689
"pc2001__32__14",1,11.4743890213736,0,100,44.1225276022403,36.1483007209063,8.33754302082181,72.6621958283906,TRUE,TRUE,3,11.1479349550304,3,7.32303643403632
"pc2001__33__02",1,60.1151082948508,0,100,80.7241623106434,75.6648936170213,66.1044620206399,109.963142204473,TRUE,TRUE,3,55.7196376572716,3,58.6723186753755
"pc2001__33__05",1,15.7630571317771,NA,NA,20.6992925947553,12.3465211459754,7.05150678834842,44.7343857818871,TRUE,FALSE,3,12.841986642926,3,5.75768718076708
"pc2001__33__06",1,14.8758244665485,NA,NA,27.2419864436261,16.8761220825853,14.165663663324,95.2260743273663,TRUE,FALSE,3,12.9491959559147,3,12.5271573018315
"pc2001__33__08",1,23.6779947380366,NA,NA,38.6323518286584,25.324966382788,24.3319117236612,102.761707622876,TRUE,FALSE,3,21.5973954736819,3,22.379903463281
"pc2001__33__09",1,26.5346976100892,0,100,39.2158290074113,23.5107227958697,28.6494820151749,107.969883192796,TRUE,TRUE,3,23.1532278642511,3,25.0750957073059
"pc2001__33__11",1,33.8801857675569,0,100,57.1254709908577,40.3068340306834,34.3868480323277,101.495453030414,TRUE,TRUE,3,30.2169880316018,3,31.2563754979885
"pc2001__33__13",1,12.7154385483001,NA,NA,49.7073888094225,30.4952698942682,13.4307125724253,105.625240697819,TRUE,FALSE,3,11.9361266063476,3,12.8261674261003
"pc2001__33__14",1,21.5697725348206,NA,NA,36.7214646538383,19.3381592554292,22.4292484642355,103.984631400389,TRUE,FALSE,3,17.7638905775076,3,18.5665485616926
"pc2001__33__15",1,21.1576446722187,NA,NA,56.4205637411915,38.382277176713,22.3607176055397,105.686232810691,TRUE,FALSE,3,18.5960639438097,3,19.1729794442987
"pc2001__33__16",1,10.6582171348564,0,100,32.4401418936216,22.8193832599119,25.5267741698662,239.503228794091,TRUE,TRUE,3,8.67251947255015,3,20.8095515878685
"pc2001__33__18",1,22.7894765187419,NA,NA,45.5100172339509,30.2534318901795,23.2649432269275,102.086343263719,TRUE,FALSE,3,21.1690048410088,3,21.9625919938184
"pc2001__33__20",1,14.2251084171648,NA,NA,37.3398697884895,24.8948696383516,15.1770320604816,106.691855101562,TRUE,FALSE,3,12.5074797932594,3,13.5354805721337
"pc2001__33__21",1,22.8123305140646,0,100,51.4715410210932,32.8717948717949,23.9919739725694,105.171078236735,TRUE,TRUE,3,20.5032408021278,3,21.5321403938177
"pc2001__33__22",1,12.0695853126204,NA,NA,28.7469508280909,18.6263736263736,12.2751714253117,101.703340316724,TRUE,FALSE,3,10.9345323954028,3,11.2587797737442
"pc2001__33__23",1,17.8815719799326,NA,NA,49.4358100915478,27.253814147018,18.3867009233408,102.824857590681,TRUE,FALSE,3,16.136694533578,3,16.9249271405735
"pc2001__33__24",1,27.1277299955173,NA,NA,61.9859664933189,42.9203539823009,29.6477175257038,109.289341683226,TRUE,FALSE,3,24.6366119735153,3,27.2663285274368
"pc2001__33__25",1,13.5991534437008,NA,NA,61.2609176756228,40.6542056074766,15.1670365130912,111.5292696408,TRUE,FALSE,3,11.8707793069877,3,13.358074101469
"pc2001__33__26",1,12.8895243263551,NA,NA,61.9965491571177,43.6875,14.0222605621216,108.788037534096,TRUE,FALSE,3,11.5665453540333,3,12.6575903189881
"pc2001__33__27",1,13.1104237246526,NA,NA,50.9790347130162,28.8843258042437,14.0187962746033,106.928628464102,TRUE,FALSE,3,10.5502667220419,3,11.3737993618472
"pc2001__33__30",1,31.7179526318178,0,100,68.5535006332534,53.1418312387792,33.3782677477871,105.234622597625,TRUE,TRUE,3,27.8619904739528,3,29.7158482071987
"pc2001__34__01",1,42.3081309157259,0,100,29.330596419204,21.875,48.965449935798,115.73531819057,TRUE,TRUE,2,NA,2,NA
"pc2001__34__03",1,69.9210757088571,0,100,39.6229172756504,40,90.510372415338,129.446481619093,TRUE,TRUE,2,NA,2,NA
"pc2001__34__04",1,39.3051771117166,0,100,44.2983651226158,26.1437908496732,43.0765318949478,109.595058616609,TRUE,TRUE,3,30.635838150289,3,33.2031559479243
"pc2001__09__17",1,0,99.8936022574825,0,29.3848146579793,23.9988719684151,NA,NA,TRUE,TRUE,2,NA,NA,NA
"pc2001__01__02",1,33.1603852201828,0,100,31.0110942832919,16.9148302561048,NA,NA,TRUE,TRUE,3,79.3204448589006,NA,NA
"pc2001__01__03",2,14.7051489839172,NA,NA,61.2859992519636,34.974533106961,NA,NA,TRUE,FALSE,3,71.9621963321144,NA,NA
"pc2001__01__04",1,82.9617849930243,0,100,37.0754836632552,21.558872305141,NA,NA,TRUE,TRUE,3,92.3690347227144,NA,NA
"pc2001__01__05",1,99.7732169180179,0,100,44.2765619684772,23.8147739801544,NA,NA,TRUE,TRUE,3,86.4290728515753,NA,NA
"pc2001__05__06",1,1.90372846043665,98.0033855636095,1.90549840122341,20.9010807760754,10.2970297029703,NA,NA,TRUE,TRUE,2,NA,NA,NA
"pc2001__09__23",1,0,98.1815306767868,0,16.115807026623,13.2803297997644,NA,NA,TRUE,TRUE,3,0,NA,NA
"pc2001__23__22",1,2.774560190768,96.4377065719167,2.79658985859554,35.0570163966724,24.2002781641168,NA,NA,TRUE,TRUE,3,2.61927718354611,NA,NA
"pc2001__01__09",2,99.644356085708,NA,NA,19.2246520874751,10.7512060647829,NA,NA,TRUE,FALSE,3,66.297766102137,NA,NA
"pc2001__01__10",1,91.7760141293149,4.67014616142289,95.1577686998169,24.4568478494685,15.3448275862069,NA,NA,TRUE,TRUE,3,54.0495059354069,NA,NA
"pc2001__29__19",1,11.8937940755053,0.0676738400937166,99.4342346560537,34.3769106191923,15.0430448572723,NA,NA,TRUE,TRUE,3,9.23900050734021,NA,NA
"pc2001__01__12",1,9.8739026026425,19.4804437228385,33.636935713576,27.4419825583091,14.8860398860399,NA,NA,TRUE,TRUE,3,22.6163094873794,NA,NA
